File Name,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12
113s20,-482.9454,167.50934,25.75069,24.230993,-16.311682,-0.17835622,-8.979928,1.6817374,-10.841891,-3.480211,-7.981267,0.36827263,-4.463995
259s10,-380.13876,140.84023,17.26522,8.842286,-12.2330675,4.9638634,-18.72845,-15.520532,-2.7976255,-8.119128,-12.6280575,0.7954653,-13.6360855
225s41,-339.2918,81.14491,-35.546417,60.58974,-29.76867,50.54064,-25.158573,29.247047,-14.993222,25.28996,-18.532259,9.325531,0.6083377
232s9,-375.40912,168.2952,-2.10831,13.169341,-1.3238529,-4.457428,-12.664902,-19.204647,-16.547815,-6.9087043,-12.662335,-1.8572866,-7.3819065
155s23,-304.8347,157.92445,-2.5869942,20.870548,-3.3046777,-1.2496191,-18.121855,-20.658554,-10.457686,-7.2939057,-21.252449,1.020341,-7.2718706
283s2,-314.68793,167.93193,-21.09357,28.908745,-15.87719,-3.6854208,-13.668325,-21.184727,-9.668567,1.139205,-19.064796,1.9055952,-16.65691
155s34,-453.98715,144.63455,-17.588146,52.478474,-25.819645,20.28745,-15.462744,-0.012069975,-14.598817,1.5056735,-11.1754465,-1.6624283,-17.027172
110s5,-402.13953,178.24518,-14.683622,31.589275,-8.320235,2.6477752,-3.682311,-22.02845,-5.460695,0.5182508,-15.294472,1.3983101,-5.1217017
148s7,-398.6164,168.71288,23.922554,1.0877359,-12.275393,6.3638372,-18.25116,-12.579371,-10.362314,-7.946854,-2.0056062,-3.8076658,-11.708659
246s4,-478.3605,189.04428,20.648317,12.134374,-16.773737,10.466163,-20.380531,-8.831698,-10.289291,-7.888623,-1.6569413,-3.3850536,-4.3871164
255s3,-397.78555,162.72536,13.158872,21.640295,-13.00795,-2.0253077,-7.616375,-16.075588,-8.605651,-6.2833023,-6.134016,-2.0426927,-4.37514
153s11,-341.11954,135.42996,0.80793244,33.158905,-25.714388,5.558283,-18.828272,-17.084507,-8.667312,-6.1059546,-8.010505,-3.4187853,-9.302992
215s24,-563.2227,184.41408,26.522247,21.415014,-30.550364,4.0687103,-3.6725588,-3.2912848,-0.027403513,-5.1670775,-3.480634,-2.7285004,-5.9217143
114s6,-372.7582,160.16824,26.32045,24.739342,-17.108454,-1.7669656,-2.2698462,-22.252132,-16.509708,1.7056531,-15.465312,-2.3793502,-7.432887
257s23,-440.3982,138.9432,43.34666,4.4565167,-7.6825733,1.9639108,-4.882164,-11.358111,-9.895205,-2.8893378,-8.072993,-4.617127,-8.129578
232s29,-379.43988,131.35754,11.784449,9.894849,-3.4841137,-5.968784,-13.767112,-16.366537,-12.896277,-7.9100704,-12.216368,-3.9645126,-6.703832
225s8,-384.71216,161.34943,3.8422148,18.845259,-9.168194,-9.038217,-17.249378,-18.850437,-11.56333,-10.286581,-10.933843,-4.3703036,-17.15002
249s6,-444.58502,170.43015,22.978811,22.465979,-19.147936,7.426827,-8.841529,-15.1092825,-4.2501736,-7.60193,-10.6336975,3.4933004,-7.413269
205s20,-366.8937,164.5616,17.647438,0.030919539,-2.1126242,6.0046105,-30.724812,-18.368105,-12.736318,-14.908104,-8.230354,-5.188766,-5.8283186
203s18,-468.18723,152.239,30.464355,9.815957,-7.5349,5.2650294,-26.367605,-11.054838,-11.266675,-1.5625222,-11.512908,-14.186727,-0.073475085
149s20,-1131.3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172s13,-386.204,169.85207,36.839706,18.817444,-13.476537,-4.598449,-4.2394795,-23.710243,-10.674854,-3.3677626,-21.995909,-3.0385427,0.6489383
124s8,-395.1628,138.26076,25.969732,5.047909,-5.5196004,-3.4724028,-16.897846,-14.464133,-8.310101,-10.112711,-12.14059,-2.5341656,-10.452808
130s11,-400.13873,152.89168,26.987926,16.499031,-26.750023,1.9946721,-12.949737,-17.722937,0.97035277,-4.5988107,-7.183146,-2.0913758,-6.2599387
264s1,-409.7354,162.7788,-3.1298208,20.375368,-7.0053086,16.016106,-14.6810465,-17.501453,-3.5997314,-2.4612129,-4.8882513,-5.5564394,-10.7117605
219s6,-447.62143,162.67188,11.980882,17.854725,-12.033936,3.8563032,-9.953066,-6.59564,-6.98454,-2.4143639,-10.061613,-3.3184023,-0.91061777
117s21,-1131.3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
